@relation FAQ
@attribute id string
@attribute text string
@attribute class {'AGRICULTURE','CAREER','GK','HEALTH','INSURANCE','INDIAN','SPORTS','TELECOMMUNICATION','TOURISM','BANK','LOAN','INTERNAL','PERSONALITY','RECIPES','VISA','WEB'}

@data
"ENG_AGRICULTURE_232"," WL HSTR AKRK MTRL AFLB PRFT SKTR IF PRFT ENTT MTRL PRPR EKSK H KPNK RKRT ","AGRICULTURE"
"ENG_CAREER_1"," WT KRR KNSL ","CAREER"
"ENG_CAREER_2"," WT TP SRFS OFRT KRR KNSL ","CAREER"
"ENG_CAREER_3"," WT I EKSP KRR KNSL ","CAREER"
"ENG_CAREER_4"," H KRR KNSL LST ","CAREER"
"ENG_CAREER_5"," M SKTL BS I AKSS KRR KNSL SRFS ","CAREER"
"ENG_CAREER_6"," H KRR KNSL KST ","CAREER"
"ENG_CAREER_7"," T FR KNSL PRFT KRR KNSL  ","CAREER"
"ENG_CAREER_8","  I MT KRR KNSL ","CAREER"
"ENG_CAREER_9"," WL KRR KNSL KRR JB ","CAREER"
"ENG_CAREER_10"," WT I PRPR APNT KRR KNSL  ","CAREER"
"ENG_CAREER_11"," WL KRR KNSL HLP AKTM KSXN ","CAREER"
"ENG_CAREER_12","  KLT KRR KNSL WL I TLK FLNK ","CAREER"
"ENG_CAREER_13"," WT KNTS JBS UNFR KRTT  ","CAREER"
"ENG_CAREER_14"," WT I KN ATMS SPSF KRTT PRFS PRKR ","CAREER"
"ENG_CAREER_15"," AR KN ATMS BXLR ETKX BT PRKR ","CAREER"
"ENG_CAREER_16"," IM FNXN BT TKR KRR OPXN KLSR TXR ","CAREER"
"ENG_CAREER_17"," T KRR KNSL PRFT AKTM ATFS ","CAREER"
"ENG_CAREER_18"," WT I PRPR OFRS ","CAREER"
"ENG_CAREER_19"," H TNK FLNT WRK ","CAREER"
"ENG_CAREER_20"," KN I APTT KRR TSTS KNSL SRFS ","CAREER"
"ENG_CAREER_21"," AR PRSN TP INTK TSTS AKKR ","CAREER"
"ENG_CAREER_22"," WT PLSM SRFS ","CAREER"
"ENG_CAREER_23"," WT RL STTN TRNS KRTN ","CAREER"
"ENG_CAREER_24"," WT TPKL STRT SLR UNFR KRTT ","CAREER"
"ENG_CAREER_25"," T UNFR KRTT JBS FRSS KLJ KRTT ","CAREER"
"ENG_CAREER_26"," WT KRR KNSL ","CAREER"
"ENG_CAREER_27"," H KRR KNSL HLP M ","CAREER"
"ENG_CAREER_28"," AR SPXL XLNJ PRSN ENTR KRTF FLT ","CAREER"
"ENG_CAREER_29"," IF KRR ASSM ON  I KRR KNSL ","CAREER"
"ENG_CAREER_30"," WT I KSXN RSFN FTBK ASSM ","CAREER"
"ENG_CAREER_31"," T KRR KNSL LSTN JBS ","CAREER"
"ENG_CAREER_32"," WT PRFS RSM ","CAREER"
"ENG_CAREER_33"," WT EFKT RSM ","CAREER"
"ENG_CAREER_34"," IM 0RP TS AFKT KRR KNSL ","CAREER"
"ENG_CAREER_35"," H I ANSW T INTR KSXN ","CAREER"
"ENG_CAREER_36"," WT KMN STXN KRR SLXN HLPS KLNT RSLF ","CAREER"
"ENG_CAREER_37"," H KRR KNSL PRSS WRK ","CAREER"
"ENG_CAREER_38"," H KRR KNSL PRSS TK ","CAREER"
"ENG_CAREER_39"," H KRR KNSL MT ","CAREER"
"ENG_CAREER_40"," WT TLFN RKRT KRR KNSL  ","CAREER"
"ENG_CAREER_41"," IF I AM JB SRX KRR SLXN OFR PLSM WL INTR PTNX EMPL ","CAREER"
"ENG_CAREER_42"," WL KRR KNSL RT RSM ","CAREER"
"ENG_CAREER_43"," AR SSNS KNFT KRR KNSL  ","CAREER"
"ENG_CAREER_44"," WL HL0 INSR KFR KRR KNSL SSNS Y ","CAREER"
"ENG_CAREER_45"," KN I TTKT KSTS KRR KNSL TKS RTRN ","CAREER"
"ENG_CAREER_46"," WT I SKTL KRR KNSL SSN RSKT KNSL ","CAREER"
"ENG_CAREER_47"," AR KRR KNSL SRFS KRNT ","CAREER"
"ENG_CAREER_48"," IT SKTL INXL MTNK H I EKSP WT APNT KRR KNSL  ","CAREER"
"ENG_CAREER_49"," I KLNT KRR KNSL  WT I FRST ","CAREER"
"ENG_CAREER_50"," WT 0 HMNT STRM  ","CAREER"
"ENG_CAREER_51"," WT PRSP OPRT AKRK FT ENJN OFRT IT KHRK ","CAREER"
"ENG_CAREER_52"," WT KRR OPXN AFRJ STTN XMST M0S ","CAREER"
"ENG_CAREER_53"," I B IT AM FRNS SNS WT OPXN HF WT KMPT FRNS KLFK RKRM 0T IS TST EKSM INT OBTN TRNN ELJB PRS KRMN TKR LFL B IT ","CAREER"
"ENG_CAREER_54"," I LF KLKT I AM JRL PST  IKN I FRN LNKJ KRR PRSP KLKT I LRNT ENKL MTM SKL I ENKL LNKJ M ","CAREER"
"ENG_CAREER_55"," WT KN T AFTR FRNS LNKJ KRS S I KN JT PRPR JB ","CAREER"
"ENG_CAREER_56"," SRMT OPNN I STRM   ETKX PRNT ELTR SKST I PKM PKB S NR FTR OPXN M AM ENRL SFL SRFS  ISPS I HMNT ELTR KRTS XS TKNK HMNT SKST I LF IT I FL TSKR PRSR ANT I RL SNSS SX PLS I RKST KT M ANT ANSW ASP 0NK Y ","CAREER"
"ENG_CAREER_57"," AJ  YRS JN NXNL TFNS AKTM ","CAREER"
"ENG_CAREER_58"," I STT  KMRS I TNT STT  I TNT BKM ","CAREER"
"ENG_CAREER_59"," SR KMPL KRTX BSK  YR N ATMS MS KMNK PLS TL KRS TTL NT PRSS ATMS TL KLJS MS KM ","CAREER"
"ENG_CAREER_60"," I AM FNL STTN BSKK SNS I KMPL KRTX XLT I MB TR JB SKST OPXN ","CAREER"
