id,text,class
ENG_AGRICULTURE_232, HSTR AKRK MTRL AFLB PRFT SKTR PRFT ENTT MTRL PRPR EKSK KPNK RKRT ,AGRICULTURE
ENG_CAREER_1, KRR KNSL ,CAREER
ENG_CAREER_2, TP SRFS OFRT KRR KNSL ,CAREER
ENG_CAREER_3, EKSP KRR KNSL ,CAREER
ENG_CAREER_4, KRR KNSL LST ,CAREER
ENG_CAREER_5, SKTL BS AKSS KRR KNSL SRFS ,CAREER
ENG_CAREER_6, KRR KNSL KST ,CAREER
ENG_CAREER_7, FR KNSL PRFT KRR KNSL  ,CAREER
ENG_CAREER_8, MT KRR KNSL ,CAREER
ENG_CAREER_9, KRR KNSL KRR JB ,CAREER
ENG_CAREER_10, PRPR APNT KRR KNSL  ,CAREER
ENG_CAREER_11, KRR KNSL HLP AKTM KSXN ,CAREER
ENG_CAREER_12, KLT KRR KNSL TLK FLNK ,CAREER
ENG_CAREER_13, KNTS JBS UNFR KRTT  ,CAREER
ENG_CAREER_14, KN ATMS SPSF KRTT PRFS PRKR ,CAREER
ENG_CAREER_15, KN ATMS BXLR ETKX BT PRKR ,CAREER
ENG_CAREER_16, IM FNXN BT TKR KRR OPXN KLSR TXR ,CAREER
ENG_CAREER_17, KRR KNSL PRFT AKTM ATFS ,CAREER
ENG_CAREER_18, PRPR OFRS ,CAREER
ENG_CAREER_19, TNK FLNT WRK ,CAREER
ENG_CAREER_20, APTT KRR TSTS KNSL SRFS ,CAREER
ENG_CAREER_21, PRSN TP INTK TSTS AKKR ,CAREER
ENG_CAREER_22, PLSM SRFS ,CAREER
ENG_CAREER_23, RL STTN TRNS KRTN ,CAREER
ENG_CAREER_24, TPKL STRT SLR UNFR KRTT ,CAREER
ENG_CAREER_25, UNFR KRTT JBS FRSS KLJ KRTT ,CAREER
ENG_CAREER_26, KRR KNSL ,CAREER
ENG_CAREER_27, KRR KNSL HLP M ,CAREER
ENG_CAREER_28, SPXL XLNJ PRSN ENTR KRTF FLT ,CAREER
ENG_CAREER_29, IF KRR ASSM ON KRR KNSL ,CAREER
ENG_CAREER_30, KSXN RSFN FTBK ASSM ,CAREER
ENG_CAREER_31, KRR KNSL LSTN JBS ,CAREER
ENG_CAREER_32, PRFS RSM ,CAREER
ENG_CAREER_33, EFKT RSM ,CAREER
ENG_CAREER_34, IM 0RP AFKT KRR KNSL ,CAREER
ENG_CAREER_35, ANSW T INTR KSXN ,CAREER
ENG_CAREER_36, KMN STXN KRR SLXN HLPS KLNT RSLF ,CAREER
ENG_CAREER_37, KRR KNSL PRSS WRK ,CAREER
ENG_CAREER_38, KRR KNSL PRSS TK ,CAREER
ENG_CAREER_39, KRR KNSL MT ,CAREER
ENG_CAREER_40, TLFN RKRT KRR KNSL  ,CAREER
ENG_CAREER_41, AM JB SRX KRR SLXN OFR PLSM WL INTR PTNX EMPL ,CAREER
ENG_CAREER_42, KRR KNSL RT RSM ,CAREER
ENG_CAREER_43, SSNS KNFT KRR KNSL  ,CAREER
ENG_CAREER_44, HL0 INSR KFR KRR KNSL SSNS Y ,CAREER
ENG_CAREER_45, TTKT KSTS KRR KNSL TKS RTRN ,CAREER
