@relation FAQ
@attribute id string
@attribute text string
@attribute class {'CAREER','AGRICULTURE','NONE','HEALTH','INSURANCE','BANK','INDIAN','LOAN','GK','SPORTS','TELECOMMUNICATION','TOURISM','INTERNAL','PERSONALITY','RECIPES','VISA','WEB'}
@data

"ENG_5"," carier conselling sessionss confidensial","CAREER"

"ENG_6"," whr info abt pesticide estb reg rep","AGRICULTURE"

"ENG_7"," gimme info abt bulk repakaging pesticides","AGRICULTURE"

"ENG_8"," naitural phertilizar 1","NONE"

"ENG_9"," scpe 4 aggri tech","NONE"

"ENG_10"," natrl frtlzrs avlble","NONE"

"ENG_11"," precautns necc 2 store paddy","AGRICULTURE"

"ENG_12"," grain cltvated tmlnadu","NONE"

"ENG_13"," whch fruit fmous krnataka","NONE"

"ENG_14"," online cours thr soil phys deg","AGRICULTURE"

"ENG_15"," whats trtmnt pox","HEALTH"

"ENG_16"," hows smallpox sprd","HEALTH"

"ENG_17"," smallpox infectituous","HEALTH"

"ENG_18"," smallpox mean immune life","HEALTH"

"ENG_19"," home insurance valid wife coachin class","INSURANCE"

"ENG_20"," bldg insured sociaty needa insurance","INSURANCE"

"ENG_21"," livin rent ya insurance","INSURANCE"

"ENG_22"," ya increese total amt insurance","INSURANCE"

"ENG_23"," wats reeimbursmant claim","INSURANCE"

"ENG_24"," concessions provided retail loans","BANK"

"ENG_25"," vats auto sweep","BANK"

"ENG_26"," desc core power","BANK"

"ENG_27"," draft allowed 2 months salary?","BANK"

"ENG_28"," wats reimbursement current acc","BANK"

"ENG_29"," othr indians else buy property","BANK"

"ENG_30"," wt defn nri","BANK"

"ENG_31"," priod hlth insrnce","INSURANCE"

"ENG_32"," cash fac bill amt ok","INSURANCE"

"ENG_33"," ya assst gettin cash fac","INSURANCE"

"ENG_34"," irctc mobile shd register","INDIAN"

"ENG_35"," concessions thatkal travelers","INDIAN"

"ENG_36"," 2 pnr paying","INDIAN"

"ENG_37"," 2 downld irctc mobile","INDIAN"

"ENG_38"," 2 buy season tkts","NONE"

"ENG_39"," oftn career counsellars meet","CAREER"

"ENG_40"," abt tele based counseling","CAREER"

"ENG_41"," sum 1 write resume","CAREER"

"ENG_42"," job placement","CAREER"

"ENG_43"," career sassons confidantal","CAREER"

"ENG_44"," health insurance able career counsalling","CAREER"

"ENG_45"," deduct tax returns pl career counsalling sessons","CAREER"

"ENG_46"," possibal reschedule cancel counsling session","CAREER"

"ENG_47"," wt payment methods","INDIAN"

"ENG_48"," special trains 4 dwali","NONE"

"ENG_49"," hud subord claim mortgager whosa defaulter qualifies fora modification","LOAN"

"ENG_50"," shld mortgagees perform escrow analysis completing loan modification","LOAN"

"ENG_51"," am unemployed spouse employed qualify loan modification names mortgage","LOAN"

"ENG_52"," im havin probs appraisal va help","LOAN"

"ENG_53"," va help complaint items wit buildar","LOAN"

"ENG_54"," lender collectin taxes insurance?","LOAN"

"ENG_55"," nat flowr italy","GK"

"ENG_56"," natl flower china","GK"

"ENG_57"," perm sec saarc loc","GK"

"ENG_58"," whch gateway glf iran","GK"

"ENG_59"," whr industrl rev 1st","GK"

"ENG_60"," ven wrld environ day","GK"

"ENG_61"," wats natl flower brits","GK"

"ENG_62"," asia's lrgest shppin mall","GK"

"ENG_63"," whos largets tin producr","GK"

"ENG_64"," country calld land risin sun","GK"

"ENG_65"," topped pga tour earnings 5 yrs 70s","SPORTS"

"ENG_66"," wch person won bak world serie poker tourny","SPORTS"

"ENG_67"," tms nfl afl joined fold 1970","SPORTS"

"ENG_68"," city hosts yrly beanpot tourny college hocky besties","SPORTS"

"ENG_69"," whats ref sayin clasps wrists hocky","SPORTS"

"ENG_70"," hspital chnnai","NONE"

"ENG_71"," antibiotic 4 smllpox","NONE"

"ENG_72"," manipal hosp located","NONE"

"ENG_73"," eye hosp chennai","NONE"

"ENG_74"," 2 hlth tips mobile","NONE"

"ENG_75"," serious pox","HEALTH"

"ENG_76"," causes hepatitis-b","NONE"

"ENG_77"," yng prsn inherited macular degeneration parents shoud areds","SPORTS"

"ENG_78"," wats uplnk dwn lnk commun freq","TELECOMMUNICATION"

"ENG_79"," bst plan std cal","NONE"

"ENG_80"," sms packs","NONE"

"ENG_81"," 2 apply 4 mobile conn","NONE"

"ENG_82"," 2 send fax","NONE"

"ENG_83"," 2 activte gprs","NONE"

"ENG_84"," roamin charge","NONE"

"ENG_85"," prils covrd policy","INSURANCE"

"ENG_86"," proceedeur assessin val home content","INSURANCE"

"ENG_87"," live rent dont insurance rgt","INSURANCE"

"ENG_88"," aiims granted cashless fac","INSURANCE"

"ENG_89"," 2 bsnl conn","TELECOMMUNICATION"

"ENG_90"," forms payment air lines accept","TOURISM"

"ENG_91"," cheaper alternatives air ambulance","TOURISM"

"ENG_92"," insurence covr air ambulance","TOURISM"

"ENG_93"," cost inclusive everythin air trnsprt","TOURISM"

"ENG_94"," wats air ambulance","TOURISM"

"ENG_95"," woulda patient req air ambulance","TOURISM"

"ENG_96"," happns irctmob lock","INDIAN"

"ENG_97"," details thatkal bookin","INDIAN"

"ENG_98"," happen frgot photo id","INDIAN"

"ENG_99"," 2 payment 4 e-tkts","INDIAN"

"ENG_100"," trains frm tpj 2 sbc","NONE"

"ENG_101"," specl trns 4 pongal","NONE"

"ENG_102"," tkt rate 4 pilgrms","NONE"

"ENG_103"," advntgs isdn?","TELECOMMUNICATION"

"ENG_104"," sprte lne fr adsl","TELECOMMUNICATION"

"ENG_105"," ichnge frm 1 brdbnd data rte 2 anthr","TELECOMMUNICATION"

"ENG_106"," max amnt 4 house loan","LOAN"

"ENG_107"," gt dtail trains av pntry crs?","INDIAN"

"ENG_108"," pln journy usng intrnt resrvatns","INDIAN"

"ENG_109"," tatkl bukng?","INDIAN"

"ENG_110"," wil gt pnr onc pymnt made?","INDIAN"

"ENG_111"," vats veteran troubal replaying loan","LOAN"

"ENG_112"," ya 2 purchase va prop","LOAN"

"ENG_113"," wers lst va homes sale","LOAN"

"ENG_114"," ya ans qns relatd proprty","LOAN"

"ENG_115"," veteran purchase va owned prop","LOAN"

"ENG_116"," va finance va owned prop purchase","LOAN"

"ENG_117"," dna profilng?","HEALTH"

"ENG_118"," der rsk hivtrnsmission aving tattoo, durng bdy piercng visting barber","HEALTH"

"ENG_119"," dna profilng wats it?","HEALTH"

"ENG_120"," benafeets dna profilng?","HEALTH"

"ENG_121"," whos shortstop holds records games played major league incl assists dbl plays","SPORTS"

"ENG_122"," team wn wrld cup lst yr","NONE"

"ENG_123"," techniques dna profilng?","HEALTH"

"ENG_124"," pirate exctly 3000 career hits dyin crash","SPORTS"

"ENG_125"," seasons gehrig play game inn","SPORTS"

"ENG_126"," seasons lou gehreg play innings game","SPORTS"

"ENG_127"," buy proprty india","BANK"

"ENG_128"," typs pnsions cppc hndle","BANK"

"ENG_129"," frgt atm pin whle trvlng?","NONE"

"ENG_130"," chrgs paid wile sbmtin form 49a","NONE"

"ENG_131"," cost submitin form 49a","NONE"

"ENG_132"," paid wile sbmtin form 49a","NONE"

"ENG_133"," payment form 49a","NONE"

"ENG_134"," submission charges form 49a","NONE"

"ENG_135"," ya getta bsnl conn","TELECOMMUNICATION"

"ENG_136"," needa bsnl conn help","TELECOMMUNICATION"

"ENG_137"," bsnl connection tell ya","TELECOMMUNICATION"

"ENG_138"," geta bsnl connexio","TELECOMMUNICATION"

"ENG_139"," connexion bsnl","TELECOMMUNICATION"

"ENG_140"," hapns shift house telecom","TELECOMMUNICATION"

"ENG_141"," upload","TELECOMMUNICATION"

"ENG_142"," upload","TELECOMMUNICATION"

"ENG_143"," srvices ya offr medical trnsport","TOURISM"

"ENG_144"," happns names list evn thou bookin","TOURISM"

"ENG_145"," name sum famous teempal gujju land","NONE"

"ENG_146"," mak bookin outside country","TOURISM"

"ENG_147"," chennai tirupati","TOURISM"

"ENG_148"," hows udaipur visitin","TOURISM"

"ENG_149"," tell shortest dist trivandrum tiruchur","TOURISM"

"ENG_150"," maps media egypt","TOURISM"

"ENG_151"," tailor tours","TOURISM"

"ENG_152"," immunizations visitin india","TOURISM"

"ENG_153"," experience india poss","TOURISM"

"ENG_154"," photography restrictions india exist not?","TOURISM"

"ENG_155"," 2 info abt transprtn pesticides","AGRICULTURE"

"ENG_156"," biotech benft agro ecnmy","AGRICULTURE"

"ENG_157"," gldn rice","AGRICULTURE"

"ENG_158"," strt agri biz","AGRICULTURE"

"ENG_159"," csp","NONE"

"ENG_160"," typ acc avl","BANK"

"ENG_161"," intrst price","BANK"

"ENG_162"," max cash withdrwl lmt/day","NONE"

"ENG_163"," 2 trnsmt tv lng dist coverage","TELECOMMUNICATION"

"ENG_164"," signal cdng decodng","TELECOMMUNICATION"

"ENG_165"," adsl faster dialup","TELECOMMUNICATION"

"ENG_166"," iz cst career cnsling","CAREER"

"ENG_167"," answer intview ques","CAREER"

"ENG_168"," becum pilot b.sc maths","CAREER"

"ENG_169"," m.tech bca mba","CAREER"

"ENG_170"," jamaica exprt mainly","GK"

"ENG_171"," whch lnd whte elephnts","GK"

"ENG_172"," iz ceo google","GK"

"ENG_173"," sgnd nuclr deal wid iran","GK"

"ENG_174"," country prdcs 1/3 teak wrld","GK"

"ENG_175"," mch ds cst borrow mat","LOAN"

"ENG_176"," docs req fr edu loan","LOAN"

"ENG_177"," udaipur gd 2 vist","TOURISM"

"ENG_178"," 2 bk flyt","TOURISM"

"ENG_179"," carry pets flyt","TOURISM"

"ENG_180"," won bk 2 bk poker wrld pokr trnmnt","SPORTS"

"ENG_181"," wn 4 grand slams 4 time","SPORTS"

"ENG_182"," cosmetic trtmnt cvrd insrnce","INSURANCE"

"ENG_183"," hw'll claim pymnt","INSURANCE"

"ENG_184"," wts cashless fclty","INSURANCE"

"ENG_185"," aggri bio technology","AGRICULTURE"

"ENG_186"," fertilizers rlsed 2011","NONE"

"ENG_187"," frmrs adopted crop varieties dev using biotech","AGRICULTURE"

"ENG_188"," wt soil testin","AGRICULTURE"

"ENG_189"," whr fertilzer pesticide","AGRICULTURE"

"ENG_190"," whr info fertilzier","AGRICULTURE"

"ENG_191"," ya tell whr agri machinery","AGRICULTURE"

"ENG_192"," wats composting","AGRICULTURE"

"ENG_193"," 2 online shoppin","BANK"

"ENG_194"," bank givs low intrst 4 loans","BANK"

"ENG_195"," bank prvides edu loans","BANK"

"ENG_196"," 2 chnge atm pin","BANK"

"ENG_197"," list atm centers chennai","BANK"

"ENG_198"," prcedre 4 applyin crdit card","BANK"

"ENG_199"," 2 deactivte lost atm crd","BANK"

"ENG_200"," ntfs","BANK"

"ENG_201"," lst jobs avail","CAREER"

"ENG_202"," 2 writ proffessional resume","CAREER"

"ENG_203"," wats effective rsume","CAREER"

"ENG_204"," dos bng therapy affect counseling","CAREER"

"ENG_205"," tackle tough qns","CAREER"

"ENG_206"," common career soluns helped clients tackle","CAREER"

"ENG_207"," exp career counselling process","CAREER"

"ENG_208"," career counselling process goin 2","CAREER"

"ENG_209"," captal australia","NONE"

"ENG_210"," clled silicon city india","NONE"

"ENG_211"," wrld war1 strted","NONE"

"ENG_212"," india","NONE"

"ENG_213"," bst novel 2011","NONE"

"ENG_214"," rhmbus","NONE"

"ENG_215"," squ chess board","NONE"

"ENG_216"," frst indian 2 2 space","GK"

"ENG_217"," bst hspital chennai","HEALTH"

"ENG_218"," 2 prevent tb","HEALTH"

"ENG_219"," bst medicne 4 cold","HEALTH"

"ENG_220"," wr fnd info abt fertlzrs?","AGRICULTURE"

"ENG_221"," agrcltrl biotechlg?","AGRICULTURE"

"ENG_222"," rsks gntc engg?","AGRICULTURE"

"ENG_223"," shud spacin btw trees","AGRICULTURE"

"ENG_224"," 2 enrl 4 skul agrcltur prog","AGRICULTURE"

"ENG_225"," due dat gon whr submit form","AGRICULTURE"

"ENG_226"," wch agri products certifid organic","AGRICULTURE"

"ENG_227"," terminator tech means","AGRICULTURE"

"ENG_228"," biotech grad fr phd bio sci","AGRICULTURE"

"ENG_229"," whom cntct report grin house gas emision","AGRICULTURE"

"ENG_230"," am returning india, retain assets us.","BANK"

"ENG_231"," wt ur banks capabilities","BANK"

"ENG_232"," i'm citizen acuire bunglow india gift","BANK"

"ENG_233"," dnt submit life cert nov abt pension.","BANK"

"ENG_234"," am pensioner relief frm tax, whr submit investmnt docs","NONE"

"ENG_235"," am 12th pass frm ignou, wch lang shd learn othr thn eng","CAREER"

"ENG_236"," wt universities offring mastr degree aftr bmm","CAREER"

"ENG_237"," hv ca mba sapfi hv 20 yr exp. wt job opprtunitz abroad","CAREER"

"ENG_238"," wt sub msc maths wch universities fr specialization","CAREER"

"ENG_239"," deletd confirmation email webinar, nxt.","CAREER"

"ENG_240"," country wid popultion density","GK"

"ENG_241"," whoz assasinator john kennedy","GK"

"ENG_242"," topper forbes billionaire university lst","GK"

"ENG_243"," whr vesuvius located","NONE"

"ENG_244"," name 1st indian navy chief vice admirl","GK"

"ENG_245"," wtz impct stericycle helth","HEALTH"

"ENG_246"," ulcer causd alcohol","HEALTH"

"ENG_247"," i'm exposd hbv, shd","HEALTH"

"ENG_248"," der tretmnt fr bactril meningits","HEALTH"

"ENG_249"," levl anti oxidnt zn gud nt","HEALTH"

"ENG_250"," wtz cashles claim","INSURANCE"

"ENG_251"," health chk coverd dis polcy","INSURANCE"

"ENG_252"," buildng insured, insurnce","INSURANCE"

"ENG_253"," co paymnt means","INSURANCE"

"ENG_254"," whr sbmt claim","INSURANCE"

"ENG_255"," activt irctc mobile","INDIAN"

"ENG_256"," tell frnds abt irctc mobile","INDIAN"

"ENG_257"," wt tkt cancel chrgs","INDIAN"

"ENG_258"," fr tkt delivry wt shd provided courier","INDIAN"

"ENG_259"," wt dnt plan jurney advnce","INDIAN"

"ENG_260"," wt borow frm usf libraris","LOAN"

"ENG_261"," widow vetrn home lon","NONE"

"ENG_262"," ill article arived","NONE"

"ENG_263"," ill rqst diffrnt frm regulr","NONE"

"ENG_264"," tell low studnt loan paymnt avlble","NONE"

"ENG_265"," beanpot turnamnt hostd ct","SPORTS"

"ENG_266"," winner 6 pga playr yr","SPORTS"

"ENG_267"," 1968 womn gold medlist","SPORTS"

"ENG_268"," wtz woman sport playd summr olympcs 96","SPORTS"

"ENG_269"," mny ebola victms die 2 days","SPORTS"

"ENG_270"," laser stimultn wrks","TELECOMMUNICATION"

"ENG_271"," los wrks fr 3050km","TELECOMMUNICATION"

"ENG_272"," fm prefrd fr music trnsmsion","TELECOMMUNICATION"

"ENG_273"," efect qlty wavlngth fibre optic cable","TELECOMMUNICATION"

"ENG_274"," ethernet gud","TELECOMMUNICATION"

"ENG_275"," bargn wid vndrs","TOURISM"

"ENG_276"," whr egypt maps","TOURISM"

"ENG_277"," sugst rstrnts mumbai","TOURISM"

"ENG_278"," whtz proces cancl tkt","TOURISM"

"ENG_279"," bedside medcl trnsprt means wt","TOURISM"

"ENG_280"," food producd biotechnolgy safe 2 eat?","AGRICULTURE"

"ENG_281"," vts process soil testing?","AGRICULTURE"

"ENG_282"," frm whr sud purchase frtilizrs?","AGRICULTURE"

"ENG_283"," frm whr 2 knw abt frtilizrs?","AGRICULTURE"

"ENG_284"," frm whr gt info abt trnsportatn frtilizrs?","AGRICULTURE"

"ENG_285"," vt benefits csp?","BANK"

"ENG_286"," mny typs accnts thr 4 cstomers?","BANK"

"ENG_287"," salary accnt undr csp?","NONE"

"ENG_288"," vt documnts requrd 2 salary accnt?","BANK"

"ENG_289"," vt multicity cheque?","BANK"

"ENG_290"," vt services avialable 4 career counslng?","CAREER"

"ENG_291"," cost 4 career couslng?","CAREER"

"ENG_292"," provide ny free career counslng?","CAREER"

"ENG_293"," vt kinds jobs thr 4 graduats?","CAREER"

"ENG_294"," vt placmnt services?","CAREER"

"ENG_295"," vich animal hs white blood?","GK"

"ENG_296"," vich river world?","GK"

"ENG_297"," vich highgest montane world?","GK"

"ENG_298"," vich biggst desrt world?","GK"

"ENG_299"," largest ocean world?","GK"

"ENG_300"," vt diffrnt additives tht added wine?","HEALTH"

"ENG_301"," vt health effects stericycle?","HEALTH"

"ENG_302"," alchohl cause ulser?","HEALTH"

"ENG_303"," thr ny benefit drinkng alchohl?","HEALTH"

"ENG_304"," excessive drinng cause canser?","HEALTH"

"ENG_305"," vt diffrnce coinsurance nd copaymnt?","INSURANCE"

"ENG_306"," vts toll free no. compny?","INSURANCE"

"ENG_307"," health tpa?","INSURANCE"

"ENG_308"," vts family floater plan?","INSURANCE"

"ENG_309"," vt co-paymnt?","INSURANCE"

"ENG_310"," vt benefits using irctcmobile?","INDIAN"

"ENG_311"," vt services related tkting provided irctcmobile?","INDIAN"

"ENG_312"," vt steps 4 getng irctcmobile service?","INDIAN"

"ENG_313"," book ticket using irctcmobile service?","INDIAN"

"ENG_314"," cancel ticket irctcmobile?","INDIAN"

"ENG_315"," vt interlibrary loan?","LOAN"

"ENG_316"," apply 4 va gauranteed loan?","LOAN"

"ENG_317"," obtain proof 4 military srvices?","LOAN"

"ENG_318"," wt procedure payoff loan?","LOAN"

"ENG_319"," thr ny penalties 4 overdue items?","LOAN"

"ENG_320"," world's beat cricketer?","SPORTS"

