id,text,class
ENG_5, KRR KNSL SSNS KNFT ,CAREER
ENG_6, R INF ABT PSTS ESTB RK RP ,AGRICULTURE
ENG_7, JM INF ABT BLK RPKJ PSTS ,AGRICULTURE
ENG_11, PRKT NKK  STR PT ,AGRICULTURE
ENG_14, ONLN KRS 0R SL FS TK ,AGRICULTURE
ENG_15, WTS TRTM PKS ,HEALTH
ENG_16, HS SMLP SPRT ,HEALTH
ENG_17, SMLP INFK ,HEALTH
ENG_18, SMLP MN IMN LF ,HEALTH
ENG_19, HM INSR FLT WF KXN KLS ,INSURANCE
ENG_20, BLTK INSR SXT NT INSR ,INSURANCE
ENG_21, LFN RNT Y INSR ,INSURANCE
ENG_22, Y INKR TTL AMT INSR ,INSURANCE
ENG_23, WTS RMBR KLM ,INSURANCE
ENG_24, KNSS PRFT RTL LNS ,BANK
ENG_25, FTS AT SWP ,BANK
ENG_26, TSK KR PWR ,BANK
ENG_27, TRFT ALWT  MN0S SLR ,BANK
ENG_28, WTS RMBR KRNT AKK ,BANK
ENG_29, O0R INTN ELS B PRPR ,BANK
ENG_30, T TFN NR ,BANK
ENG_31, PRT L0 INSR ,INSURANCE
ENG_32, KX FK BL AMT OK ,INSURANCE
ENG_33, Y AST JTN KX FK ,INSURANCE
ENG_34, IRKT MBL XT RJST ,INDIAN
ENG_35, KNSS 0TKL TRFL ,INDIAN
ENG_36,  NR PYNK ,INDIAN
ENG_37,  TNLT IRKT MBL ,INDIAN
ENG_39, OFTN KRR KNSL MT ,CAREER
ENG_40, ABT TL BST KNSL ,CAREER
ENG_41, SM  RT RSM ,CAREER
ENG_42, JB PLSM ,CAREER
ENG_43, KRR SSNS KNFT ,CAREER
ENG_44, HL0 INSR ABL KRR KNSL ,CAREER
ENG_45, TTKT TKS RTRN PL KRR KNSL SSNS ,CAREER
ENG_46, PSBL RSKT KNSL KNSL SSN ,CAREER
ENG_47, T PMNT M0TS ,INDIAN
ENG_49, HT SBRT KLM MRTK WS TFLT KLFS FR MTFK ,LOAN
ENG_50, XLT MRTK PRFR ESKR ANLS KMPL LN MTFK ,LOAN
ENG_51, AM UNMP SPS EMPL KLF LN MTFK NMS MRTK ,LOAN
ENG_52, IM HFN PRBS APRS F HLP ,LOAN
ENG_53, F HLP KMPL ITMS WT BLTR ,LOAN
ENG_54, LNTR KLKT TKSS INSR ,LOAN
ENG_55, NT FLR ITL ,GK
ENG_56, NTL FLWR XN ,GK
ENG_57, PRM SK SRK LK ,GK
ENG_58, X KTW KLF IRN ,GK
ENG_59, R INTS RF ST ,GK
ENG_60, FN RLT ENFR T ,GK
ENG_61, WTS NTL FLWR BRTS ,GK
ENG_62, AXS LRJS XPN ML ,GK
ENG_63, WS LRJT TN PRTK ,GK
ENG_64, KNTR KLT LNT RSN SN ,GK
ENG_65, TPT PK TR ERNN  RS S ,SPORTS
ENG_66, X PRSN WN BK WRLT SR PKR TRN ,SPORTS
ENG_67, TMS NFL AFL JNT FLT  ,SPORTS
ENG_68, ST HSTS RL BNPT TRN KLJ HK BSTS ,SPORTS
ENG_69, WTS RF SYN KLSP RSTS HK ,SPORTS
ENG_75, SRS PKS ,HEALTH
ENG_77, NK PRSN INHR MKLR TJNR PRNT XT ARTS ,SPORTS
ENG_78, WTS UPLN TN LNK KMN FRK ,TELECOMMUNICATION
ENG_85, PRLS KFRT PLS ,INSURANCE
ENG_86, PRST ASSN FL HM KNTN ,INSURANCE
ENG_87, LF RNT TNT INSR RKT ,INSURANCE
ENG_88, AMS KRNT KXLS FK ,INSURANCE
ENG_89,  BSNL KN ,TELECOMMUNICATION
ENG_90, FRMS PMNT AR LNS AKSP ,TOURISM
ENG_91, XPR ALTR AR AMBL ,TOURISM
ENG_92, INSR KFR AR AMBL ,TOURISM
ENG_93, KST INKL EFR0 AR TRNS ,TOURISM
ENG_94, WTS AR AMBL ,TOURISM
ENG_95, WLT PTNT RK AR AMBL ,TOURISM
ENG_96, HPNS IRKT LK ,INDIAN
ENG_97, TTLS 0TKL BKN ,INDIAN
ENG_98, HPN FRKT FT IT ,INDIAN
ENG_99,  PMNT  ETKT ,INDIAN
ENG_103, ATFN ISTN ,TELECOMMUNICATION
ENG_104, SPRT LN FR ATSL ,TELECOMMUNICATION
ENG_105, IXNJ FRM  BRTB TT RT  AN0R ,TELECOMMUNICATION
ENG_106, MKS AMNT  HS LN ,LOAN
ENG_107, KT TTL TRNS AF NTR KRS ,INDIAN
ENG_108, PLN JRN USNK INTR RSRF ,INDIAN
ENG_109, TTKL BKNK ,INDIAN
ENG_110, WL KT NR ONK PMNT MT ,INDIAN
ENG_111, FTS FTRN TRBL RPLY LN ,LOAN
ENG_112, Y  PRXS F PRP ,LOAN
ENG_113, WRS LST F HMS SL ,LOAN
ENG_114, Y ANS KNS RLTT PRPR ,LOAN
ENG_115, FTRN PRXS F ONT PRP ,LOAN
ENG_116, F FNNS F ONT PRP PRXS ,LOAN
ENG_117, TN PRFL ,HEALTH
ENG_118, TR RSK HFTR AFNK TT TRNK BT PRKN FSTN BRBR ,HEALTH
ENG_119, TN PRFL WTS IT ,HEALTH
ENG_120, BNFT TN PRFL ,HEALTH
ENG_121, WS XRTS HLTS RKRT KMS PLYT MJR LK INKL ASST TBL PLS ,SPORTS
ENG_123, TXNK TN PRFL ,HEALTH
ENG_124, PRT EKSK  KRR HTS TYN KRX ,SPORTS
ENG_125, SSNS JRK PL KM IN ,SPORTS
ENG_126, SSNS L JRK PL INNK KM ,SPORTS
ENG_127, B PRPR INT ,BANK
ENG_128, TPS NXNS KPK NTL ,BANK
ENG_135, Y JT BSNL KN ,TELECOMMUNICATION
ENG_136, NT BSNL KN HLP ,TELECOMMUNICATION
ENG_137, BSNL KNKX TL Y ,TELECOMMUNICATION
ENG_138, JT BSNL KNKS ,TELECOMMUNICATION
ENG_139, KNKS BSNL ,TELECOMMUNICATION
ENG_140, HPNS XFT HS TLKM ,TELECOMMUNICATION
ENG_141, UPLT ,TELECOMMUNICATION
ENG_142, UPLT ,TELECOMMUNICATION
