text,class
' HSTR AKRK MTRL AFLB PRFT SKTR PRFT ENTT MTRL PRPR EKSK KPNK RKRT ',AGRICULTURE
' AKRK BTXN ',AGRICULTURE
' FTS PRTS USNK BTXN SF ET FTS PRTS USNK TRTX BRTN PRKT ',AGRICULTURE
' FRMR ATPT KRP FRTS TFLP USNK BTXN ',AGRICULTURE
' PRSS SL TSTN INFL ',AGRICULTURE
' PRXS FRTL PSTS SLKT ONS ',AGRICULTURE
' INFR FRTL ',AGRICULTURE
' INFR RJST PSTS ',AGRICULTURE
' INFR PSTS ESTB RJST RPRT ',AGRICULTURE
' INFR BLK RPKJ PSTS ',AGRICULTURE
' INFR KSTM BLNT PSTS ',AGRICULTURE
' INFR TRNS PSTS ',AGRICULTURE
' PSTS APLT LN KR KMPN APRT BLTN LF ',AGRICULTURE
' FRM NRSR KRNH FRST KFRT WRKR PRTK STNT PS AKRK PSTS ',AGRICULTURE
' AM KFRT WRKR PRTK STNT PS ',AGRICULTURE
' WRKR PRTK STNT PS TRNN MTRL PSTR XTS ',AGRICULTURE
' RS LFST ENFR LS RKLX APL M ',AGRICULTURE
' INFR RKLX LFST FT ',AGRICULTURE
' INFR AKKL OPRX ',AGRICULTURE
' INFR PSTR RNJL KRSN OPRX ',AGRICULTURE
' LST RFNT XK ON ',AGRICULTURE
' AKRK BTXN ',AGRICULTURE
' BTXN FNTM BRTN TXNK PS UNKS RSKS ',AGRICULTURE
' KRPS TFLP USNK BTXN SF ENFR KRPS TFLP USNK TRTX BRTN PRKT ',AGRICULTURE
' PRTK AKRK BTXN RKLT ',AGRICULTURE
' FTS PRTS USNK BTXN RKR SPXL LBLN ',AGRICULTURE
' FTS TFLP USNK BTXN KS FT ALRJ ',AGRICULTURE
' EKSM AKRK BTXN PRTK KRNT AFLB ',AGRICULTURE
' BTXN BNFT AKRK EKNM ',AGRICULTURE
' PSTP KRN HRM MNRX BTRF ',AGRICULTURE
' TRMN TXNL ',AGRICULTURE
' BTXN PL BNFX RL AKKL ',AGRICULTURE
' AKRK BTXN ASST MTNK FT TMNT OF KRWN KLBL PPLX ',AGRICULTURE
' KLTN RS EFKT MNS PRFN TFSN ',AGRICULTURE
' INTR TRT ISS AFKT BTXN FT PRTK ',AGRICULTURE
' ISS RKRT INTL PRPR AKRK ',AGRICULTURE
' JNTK ENJN T ',AGRICULTURE
' JNTK ENJN KLTN BFR ',AGRICULTURE
' RSKS JNTK ENJN ',AGRICULTURE
' RKLT JNTK ENJN ',AGRICULTURE
' JNTK ENJN KRPS TSKN ',AGRICULTURE
' FRSS PLNT JNTK ENJN INFK PPL ',AGRICULTURE
' JNTK ENJN FTS KS ALRJ ',AGRICULTURE
'  BLJ KRSS APL TK0 KLSS AM PRKR ',AGRICULTURE
' ATMS TTLN M BTXN PRKR ',AGRICULTURE
' BLJ UNTR TKR UNTR 0TY  BLJ KRSS APLY WTSP KLSS RKMN PRPR BTXN PRKR ',AGRICULTURE
' APL PRKR ENRL INTR BLJ MLKL BLJ JNTK KRSS ',AGRICULTURE
' KRTT LFL KRSS TRNS KRTT ',AGRICULTURE
' APLK KNST SBMT AFTR TTLN ',AGRICULTURE
' BTXN PRKR APRF AKT ',AGRICULTURE
' KR SKRS RKRT M BTXN ',AGRICULTURE
' TFL SKRS RKRT M BTXN ',AGRICULTURE
' KRTT SKL ARTS SNSS TPRT KT TFL SKR RPRT ',AGRICULTURE
' SBMT TFL SKRS AK ',AGRICULTURE
' ENRL M BTXN PRTM BSS ',AGRICULTURE
' PRKR M BTXN KMPL ',AGRICULTURE
' APL SPRN TRM M BTXN  ',AGRICULTURE
' KRTT BTXN PRKR FT INBL SNSS KRSS KNT FTKR RKRM ',AGRICULTURE
' HSNK PRFT UNFR BTXN ',AGRICULTURE
' TKR BTXN EKFL AMRK B BS TKR TL ATMT W0M KRNT TKR ',AGRICULTURE
' ATRS SNT APLK MTRL  BTXN  ',AGRICULTURE
' FLXP SKLR AFLB MTX INBT PRKR ',AGRICULTURE
' TTL STTN INST ATMT BTXN ',AGRICULTURE
' MTX TKR MS TKR AM AFRT MTX PRKR SNTF RKRS ',AGRICULTURE
' PRSS SL TSTN INFL ',AGRICULTURE
' PRXS FRTL PSTS SLKT ONS ',AGRICULTURE
' EXPL USFL FRMR ',AGRICULTURE
' PRKX STRN PT ',AGRICULTURE
' RTS FNNX RSK FRM NTRL TSST FLTS TRT ',AGRICULTURE
' KRS KNTN KFRN FRMR TRNN PRKR BNFX ',AGRICULTURE
' STRT FLRK SRKL AKKL BSNS ',AGRICULTURE
' TPS STRT AKR BSNS ',AGRICULTURE
' IMPR TT AKRK PRTK ',AGRICULTURE
' TFRN IS MRK AKMR ',AGRICULTURE
' AKRK MXNR ',AGRICULTURE
' KMPS ',AGRICULTURE
' FRMK ',AGRICULTURE
' KMN KMPS M0TS ',AGRICULTURE
' KMPS T ',AGRICULTURE
' BNFT KMPS T ',AGRICULTURE
' KNSM KMPS ',AGRICULTURE
' ENFR KMPS ',AGRICULTURE
' INFR KMPS ',AGRICULTURE
' AKRK PLST PLST ',AGRICULTURE
' INFR TSPS AKRK PLST PLST ',AGRICULTURE
' TSPS AKRK PLST ',AGRICULTURE
' LKL AJNS KPRT ANTR NNPR ORKN AFLB ATRS FRM LFST ANTR R KRPS OPRX ',AGRICULTURE
' INFR KMPL ENFR RKLX ',AGRICULTURE
' TX KNSR NBRS KS UNKN AKSS STRM ',AGRICULTURE
' KL KMPL APLK ANML MNR TR RNF KNSR TR HK XKN FRM NRB FLTS ',AGRICULTURE
' KSXN KNSR AR KLT ASST ',AGRICULTURE
' STTS ANML FTNK OPRX AR MNTR STT ',AGRICULTURE
' RPRT EMSN KRNH KSS FRM ',AGRICULTURE
' RRL INT ',AGRICULTURE
' FRMR INT ',AGRICULTURE
' TPS FRMN INT ',AGRICULTURE
' STTS INTN AKRK ',AGRICULTURE
' SMPL ERR ',AGRICULTURE
' OFTN  AKRK SNSS UNTR ',AGRICULTURE
' KLKT FNNX TT AKRK BSNS ',AGRICULTURE
' AKRK STTS FNT ',AGRICULTURE
' WT PRPR RT ',AGRICULTURE
' WTS HRBS KNTR OPXN ',AGRICULTURE
' WTS PRPR RSPN ',AGRICULTURE
' NBR WTS AM WRT SPRT PRPR KNTK NM ',AGRICULTURE
' WTS LNTN UNWL KPRT ',AGRICULTURE
' KNT KNTR WTS PRPR ',AGRICULTURE
' TNT HRBS NR PRPR ',AGRICULTURE
' KNT RFRN SPRY FNS LNS ',AGRICULTURE
' KNT RMF TRS TXS ',AGRICULTURE
' KNT PRFT TRS LNTN PLNT XLTR ',AGRICULTURE
' NTST LT KYTS AR KNT KNTR ',AGRICULTURE
' BFRS PRPR KSNK FLTN KNT HLP ',AGRICULTURE
' INSK TMJ TRS YRT KNT HLP ',AGRICULTURE
' KNTK KX RNTN LNT XRJ ',AGRICULTURE
' NBR SPRT MNR B0RN M KNTK ',AGRICULTURE
' KNT SL KFR PSN ',AGRICULTURE
' SN RT ',AGRICULTURE
' TT KR LN ',AGRICULTURE
' PRFN MSKT PRPR ',AGRICULTURE
' KNTK RKRT AKRK RLTT KSXN ',AGRICULTURE
' KNTS JBS APL AKRK TKR ',AGRICULTURE
' JB TTS AKRK TKR ',AGRICULTURE
' OTLK JBS AKRK INTS ',AGRICULTURE
' ATFN OPRT AKRK INTS ',AGRICULTURE
' ERN AKRK INTS ',AGRICULTURE
' LRN ONLN SRTF PRKR AKKL ',AGRICULTURE
' ONLN STT ',AGRICULTURE
' LRN ONKM AKKL PRKR ',AGRICULTURE
' INFL AKRK SNSS BXLR TKR PRKR ',AGRICULTURE
' KRSS BXLR SNS AKRK SNS PRKR ',AGRICULTURE
' BXLR SNS AKRK SNS TKR ',AGRICULTURE
' BXLR SNS AKRK SNS TKR PRKR AFLB ONLN ',AGRICULTURE
' TPS FRTL OLF KRF ',AGRICULTURE
' TP SL ',AGRICULTURE
' SPSN TRS ',AGRICULTURE
